TRIGGERBOX,208,595
CARSPAWN,154,703
143,732
134,725
129,716
125,706
125,695
122,685
117,676
113,666
105,658
100,649
92,642
84,633
80,623
77,613
75,603
75,591
75,581
75,569
77,559
78,548
78,536
79,526
79,516
77,506
74,496
70,485
68,475
68,465
68,455
70,444
74,434
76,423
77,413
76,403
76,393
76,382
77,372
78,362
80,352
81,342
83,332
85,322
87,312
89,301
93,291
97,281
102,270
107,261
112,251
117,242
123,234
132,226
140,219
148,211
157,204
166,199
175,193
184,188
193,183
202,178
211,173
221,169
231,167
241,164
252,160
262,156
272,155
282,154
292,152
302,152
312,151
322,150
333,150
344,151
355,154
366,157
378,162
388,166
398,169
408,173
418,178
428,182
437,187
447,194
453,202
460,211
466,219
471,228
476,238
480,248
483,258
487,268
490,278
495,288
498,298
500,308
502,318
501,328
496,337
488,345
480,352
470,357
459,360
449,363
438,365
423,370
411,373
400,376
390,380
380,383
369,387
357,392
347,397
338,402
326,406
314,411
303,416
294,421
286,427
282,437
282,447
290,454
300,457
310,460
320,462
331,464
341,467
352,471
362,475
372,478
383,482
393,486
404,492
414,496
424,500
434,506
445,511
455,514
465,518
475,523
484,528
492,535
499,543
506,551
512,560
517,569
519,579
521,590
522,600
522,610
522,621
523,631
522,642
522,652
520,663
515,672
508,680
500,687
492,693
481,698
470,701
459,703
449,705
439,708
429,710
419,713
409,714
399,715
388,717
377,718
367,720
357,721
347,721
337,720
327,717
317,713
306,707
295,702
285,696
277,688
270,679
264,671
259,662
254,653
249,643
246,633
246,623
250,610
254,600
261,589
269,581
278,576
287,571
297,568
307,567
319,574
327,580
333,589
340,600
345,609
352,617
360,624
368,630
377,635
387,638
398,640
409,639
419,634
424,625
425,614
423,604
415,596
406,587
397,580
387,575
377,571
367,570
355,566
342,560
333,555
322,552
312,549
302,546
291,543
278,540
268,539
258,537
247,533
238,528
228,524
220,518
212,510
202,502
196,494
191,485
186,476
185,465
185,455
185,443
189,432
192,422
197,412
203,404
209,395
217,388
227,382
237,377
247,373
258,369
269,365
280,361
290,357
300,354
310,350
321,346
331,342
341,339
351,335
360,330
370,326
380,322
390,316
398,310
404,302
408,292
408,282
405,272
400,261
394,252
386,245
376,242
367,237
356,236
345,236
333,234
321,234
311,234
300,234
289,236
279,238
268,241
256,244
245,247
234,250
222,254
212,258
202,265
194,273
186,282
180,291
174,300
168,309
165,319
161,330
159,340
156,350
155,360
153,371
151,383
150,393
149,403
148,413
148,423
150,433
150,444
150,455
150,466
151,477
153,487
152,497
151,507
150,520
150,531
151,542
153,552
154,563
155,573
157,584
160,594
164,604
167,614
169,624
170,635
173,646
177,656
180,666
184,676
189,687
193,697
196,708
201,717
198,727
189,735
180,740
170,742
159,743
149,743
