TRIGGERBOX,334,521
CARSPAWN,202,240
189,196
184,185
176,178
166,172
155,167
143,164
132,162
121,161
111,161
100,161
88,163
77,168
67,175
59,183
51,193
44,202
38,213
33,226
30,236
29,249
29,261
29,273
29,285
30,295
32,306
34,317
37,329
40,339
45,348
51,356
59,362
68,367
79,373
89,376
100,380
111,382
122,384
133,385
145,384
154,378
162,370
171,360
138,252
128,251
115,251
105,253
96,261
91,271
93,282
103,288
115,293
128,291
137,284
146,276
151,266
194,186
202,179
213,181
225,183
235,185
247,187
258,187
268,187
169,378
167,389
182,392
192,393
206,395
217,395
227,396
237,398
248,400
273,199
271,210
271,222
271,235
270,246
270,257
270,267
268,277
262,285
269,293
277,299
288,304
299,308
309,311
320,312
328,305
332,292
333,281
333,271
333,259
332,247
331,236
331,226
329,212
328,202
326,189
337,185
349,183
361,183
372,183
384,183
395,183
406,182
416,182
428,182
438,183
377,132
366,132
355,125
345,116
339,108
334,98
333,85
333,74
335,63
341,52
348,44
359,34
370,29
381,25
397,28
411,31
422,35
432,44
441,52
448,61
453,70
453,83
450,96
443,105
433,112
422,118
410,124
398,127
386,123
259,406
269,407
280,407
290,407
301,408
311,409
324,409
335,410
346,411
360,412
372,412
385,412
395,412
407,412
419,410
428,405
436,397
443,388
447,378
450,367
451,357
451,345
450,335
447,324
446,312
445,301
445,290
453,186
463,185
474,185
486,187
496,188
507,188
520,186
531,185
542,184
553,184
563,182
573,183
584,187
593,192
601,200
608,210
614,219
619,228
622,239
624,250
628,262
630,272
632,284
634,295
637,305
640,319
640,329
639,340
639,352
641,363
637,374
631,383
627,394
622,403
461,343
466,352
472,361
477,372
483,382
492,391
500,398
509,403
543,320
535,313
532,303
532,293
532,283
542,282
553,284
563,287
569,296
570,306
567,318
559,324
549,328
504,418
492,427
480,437
470,444
460,451
452,457
444,464
437,472
429,479
421,487
412,495
404,505
397,513
391,521
381,531
372,540
364,547
628,415
636,421
643,430
649,438
655,448
661,456
665,466
667,476
670,487
674,498
676,508
678,519
677,530
671,540
664,550
658,558
649,567
640,572
629,575
619,575
608,575
597,575
586,573
585,584
589,594
593,605
596,617
596,629
596,639
592,650
587,659
578,666
568,672
556,675
545,676
533,676
523,676
511,675
498,672
487,669
477,667
466,663
456,657
445,651
437,644
429,636
420,627
412,620
401,614
391,608
383,600
376,590
369,581
363,572
355,560
434,553
443,547
452,540
460,533
468,526
474,537
482,546
490,553
490,563
484,574
475,580
461,582
451,581
442,576
435,567
550,480
558,472
567,463
574,455
586,461
595,466
602,477
603,487
595,495
584,499
573,500
560,497
549,492
299,318
298,328
297,338
113,491
112,502
112,512
111,523
111,533
111,543
111,553
182,496
180,507
180,517
180,528
180,540
180,551
67,614
72,625
80,633
89,639
97,645
107,650
119,653
129,655
139,656
149,656
159,655
170,654
181,653
192,650
203,646
214,641
223,635
231,628
238,620
